CHAPA,PARES,L5,M5,R5,PADRAO,R01,R02,R03,R04,R05,R06,R07,R08,R09,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25
8x3,6,ABCDF,GIJKM,RSUVY,1111011011101000011011001,1,1,1,1,0,1,1,0,1,1,1,0,1,0,0,0,0,1,1,0,1,1,0,0,1
5x3,9,BFGHJ,KLNQR,STUVY,0100011101110100111111001,0,1,0,0,0,1,1,1,0,1,1,1,0,1,0,0,1,1,1,1,1,1,0,0,1
6x4,8,BDEFG,JMNOQ,RUVXY,0101111001001110110011011,0,1,0,1,1,1,1,0,0,1,0,0,1,1,1,0,1,1,0,0,1,1,0,1,1
6x4,7,BCEFI,JLMOQ,RUVXY,0110110011011010110011011,0,1,1,0,1,1,0,0,1,1,0,1,1,0,1,0,1,1,0,0,1,1,0,1,1
7x3,7,ABEFG,HJKMN,RSVWY,1100111101101100011001101,1,1,0,0,1,1,1,1,0,1,1,0,1,1,0,0,0,1,1,0,0,1,1,0,1
8x2,7,ACDEF,GHJKM,ORTVW,1011111101101010010101100,1,0,1,1,1,1,1,1,0,1,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0
6x2,9,BCDFI,JKLMN,OPTXY,0111010011111111000100011,0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1
7x0,8,ABDEF,GHKLM,NOQRT,1101111100111110110100000,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0
7x3,5,ABEFG,HIKLO,QSVWY,1100111110110010101001101,1,1,0,0,1,1,1,1,1,0,1,1,0,0,1,0,1,0,1,0,0,1,1,0,1
6x3,6,ABCEI,JKLOP,QRUWX,1110100011110011110010110,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,1,1,0,0,1,0,1,1,0
7x3,6,BCDEF,IJKMN,QTUWY,0111110011101100100110101,0,1,1,1,1,1,0,0,1,1,1,0,1,1,0,0,1,0,0,1,1,0,1,0,1
6x2,5,AEFGI,JKMNO,PQSXY,1000111011101111101000011,1,0,0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,1,1
6x3,11,BDFGH,JKLNP,RTWXY,0101011101110101010100111,0,1,0,1,0,1,1,1,0,1,1,1,0,1,0,1,0,1,0,1,0,0,1,1,1
6x4,7,BCEGI,JKLMP,RVWXY,0110101011111001010001111,0,1,1,0,1,0,1,0,1,1,1,1,1,0,0,1,0,1,0,0,0,1,1,1,1
4x4,7,BCEHK,MNOPR,SVWXY,0110100100101111011001111,0,1,1,0,1,0,0,1,0,0,1,0,1,1,1,1,0,1,1,0,0,1,1,1,1
6x3,7,DEFGH,IKLOQ,RSVXY,0001111110110010111001011,0,0,0,1,1,1,1,1,1,0,1,1,0,0,1,0,1,1,1,0,0,1,0,1,1
6x3,6,ACEGI,JLMNO,QTUVX,1010101011011110100111010,1,0,1,0,1,0,1,0,1,1,0,1,1,1,1,0,1,0,0,1,1,1,0,1,0
6x4,7,BFGHI,JLOPQ,SUVWY,0100011111010011101011101,0,1,0,0,0,1,1,1,1,1,0,1,0,0,1,1,1,0,1,0,1,1,1,0,1
6x4,7,ADEFG,IKLNQ,RUVWX,1001111010110100110011110,1,0,0,1,1,1,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,1,1,0
6x3,7,ADFHI,JKMNP,QTUWY,1001010111101101100110101,1,0,0,1,0,1,0,1,1,1,1,0,1,1,0,1,1,0,0,1,1,0,1,0,1
6x4,8,BCDEF,GKPQR,TUVXY,0111111000100001110111011,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,1,1,1,0,1,1,1,0,1,1
7x2,5,ABCDE,GIKMO,RSTUV,1111101010101010011111000,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,1,1,1,0,0,0
7x3,8,DEFGH,IJNOQ,RSUVX,0001111111000110111011010,0,0,0,1,1,1,1,1,1,1,0,0,0,1,1,0,1,1,1,0,1,1,0,1,0
4x3,8,EFGHK,LMNOQ,RTVXY,0000111100111110110101011,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,0,1,1,0,1,0,1,0,1,1
5x4,6,ABEGJ,KLNQR,SUVWY,1100101001110100111011101,1,1,0,0,1,0,1,0,0,1,1,1,0,1,0,0,1,1,1,0,1,1,1,0,1
5x3,8,CEFHJ,KLMNP,QRUVW,0010110101111101110011100,0,0,1,0,1,1,0,1,0,1,1,1,1,1,0,1,1,1,0,0,1,1,1,0,0
5x5,6,ABCGI,KLMPT,UVWXY,1110001010111001000111111,1,1,1,0,0,0,1,0,1,0,1,1,1,0,0,1,0,0,0,1,1,1,1,1,1
6x3,8,ABCDF,HKLNO,RSUXY,1111010100110110011010011,1,1,1,1,0,1,0,1,0,0,1,1,0,1,1,0,0,1,1,0,1,0,0,1,1
6x3,7,ADEGH,JLMNO,QRUVY,1001101101011110110011001,1,0,0,1,1,0,1,1,0,1,0,1,1,1,1,0,1,1,0,0,1,1,0,0,1
6x2,8,BCDEG,HLMOP,RSTUV,0111101100011011011111000,0,1,1,1,1,0,1,1,0,0,0,1,1,0,1,1,0,1,1,1,1,1,0,0,0
7x3,5,ACDFG,HIKMO,QSVXY,1011011110101010101001011,1,0,1,1,0,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,1
5x3,5,CDEGI,KMNOP,QSUVX,0011101010101111101011010,0,0,1,1,1,0,1,0,1,0,1,0,1,1,1,1,1,0,1,0,1,1,0,1,0
7x2,6,ABCDE,HIKLN,PQSWY,1111100110110101101000101,1,1,1,1,1,0,0,1,1,0,1,1,0,1,0,1,1,0,1,0,0,0,1,0,1
5x3,8,ABDEF,KMNOP,RTVWY,1101110000101111010101101,1,1,0,1,1,1,0,0,0,0,1,0,1,1,1,1,0,1,0,1,0,1,1,0,1
6x3,6,ABCDG,JKLOQ,STUXY,1111001001110010101110011,1,1,1,1,0,0,1,0,0,1,1,1,0,0,1,0,1,0,1,1,1,0,0,1,1
7x3,8,BCEFH,IJMNP,RTUWY,0110110111001101010110101,0,1,1,0,1,1,0,1,1,1,0,0,1,1,0,1,0,1,0,1,1,0,1,0,1
6x4,6,ABCDF,ILOQR,SUWXY,1111010010010010111010111,1,1,1,1,0,1,0,0,1,0,0,1,0,0,1,0,1,1,1,0,1,0,1,1,1
8x2,8,ABCDE,FHJKM,PRSWX,1111110101101001011000110,1,1,1,1,1,1,0,1,0,1,1,0,1,0,0,1,0,1,1,0,0,0,1,1,0
6x3,6,ABCDE,GKLNO,QTUXY,1111101000110110100110011,1,1,1,1,1,0,1,0,0,0,1,1,0,1,1,0,1,0,0,1,1,0,0,1,1
4x2,7,AFIJL,MNOPQ,RSTUW,1000010011011111111110100,1,0,0,0,0,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0
5x3,7,CDFGI,KOPQR,STUVX,0011011010100011111111010,0,0,1,1,0,1,1,0,1,0,1,0,0,0,1,1,1,1,1,1,1,1,0,1,0
4x3,7,DEFIK,LMOPQ,STUVX,0001110010111011101111010,0,0,0,1,1,1,0,0,1,0,1,1,1,0,1,1,1,0,1,1,1,1,0,1,0
8x4,7,ABCEF,HIJKL,TUWXY,1110110111110000000110111,1,1,1,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,1,1,1
7x3,7,BCEFG,HINOP,RSWXY,0110111110000111011000111,0,1,1,0,1,1,1,1,1,0,0,0,0,1,1,1,0,1,1,0,0,0,1,1,1
5x3,6,ACEFI,KLOPQ,STVXY,1010110010110011101101011,1,0,1,0,1,1,0,0,1,0,1,1,0,0,1,1,1,0,1,1,0,1,0,1,1
7x4,7,ABCDF,GJKLM,TUVWY,1111011001111000000111101,1,1,1,1,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,1
5x3,6,ABEGJ,KLMNQ,RSUXY,1100101001111100111010011,1,1,0,0,1,0,1,0,0,1,1,1,1,1,0,0,1,1,1,0,1,0,0,1,1
9x2,8,ABDEF,GHIJL,MOPUX,1101111111011011000010010,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0,1,0
6x3,6,ABCFI,JKMOQ,RTVWY,1110010011101010110101101,1,1,1,0,0,1,0,0,1,1,1,0,1,0,1,0,1,1,0,1,0,1,1,0,1
6x4,6,AEFGH,IKLOQ,RUVXY,1000111110110010110011011,1,0,0,0,1,1,1,1,1,0,1,1,0,0,1,0,1,1,0,0,1,1,0,1,1
6x2,7,BCEGI,JKLMN,QRTXY,0110101011111100110100011,0,1,1,0,1,0,1,0,1,1,1,1,1,1,0,0,1,1,0,1,0,0,0,1,1
6x3,9,BDEFG,HKLMN,RTUWX,0101111100111100010110110,0,1,0,1,1,1,1,1,0,0,1,1,1,1,0,0,0,1,0,1,1,0,1,1,0
8x3,5,ACDEF,GHIKL,MQUVW,1011111110111000100011100,1,0,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0,0,0,1,1,1,0,0
5x2,9,DEFGJ,KLMNP,QSTVX,0001111001111101101101010,0,0,0,1,1,1,1,0,0,1,1,1,1,1,0,1,1,0,1,1,0,1,0,1,0
4x4,4,BCGIK,LMOPQ,SUWXY,0110001010111011101010111,0,1,1,0,0,0,1,0,1,0,1,1,1,0,1,1,1,0,1,0,1,0,1,1,1
6x3,10,BDEFI,JLNOR,STVWX,0101110011010110011101110,0,1,0,1,1,1,0,0,1,1,0,1,0,1,1,0,0,1,1,1,0,1,1,1,0
8x1,6,ABCDE,FIJKL,MQSTW,1111110011111000101100100,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,1,0,1,1,0,0,1,0,0
5x5,7,BDFGI,KPQRS,UVWXY,0101011010100001111011111,0,1,0,1,0,1,1,0,1,0,1,0,0,0,0,1,1,1,1,0,1,1,1,1,1
6x2,8,BDEHI,JKLMP,QRSXY,0101100111111001111000011,0,1,0,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1,1
6x4,8,BCEFG,JKLNQ,TUVWX,0110111001110100100111110,0,1,1,0,1,1,1,0,0,1,1,1,0,1,0,0,1,0,0,1,1,1,1,1,0
5x3,7,CDFIJ,KMOPQ,RTUVY,0011010011101011110111001,0,0,1,1,0,1,0,0,1,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0,1
7x2,8,ABDGH,IJKLN,OPSXY,1101001111110111001000011,1,1,0,1,0,0,1,1,1,1,1,1,0,1,1,1,0,0,1,0,0,0,0,1,1
5x3,7,ABEFI,KLNOP,QSVWX,1100110010110111101001110,1,1,0,0,1,1,0,0,1,0,1,1,0,1,1,1,1,0,1,0,0,1,1,1,0
7x4,7,BCDFG,HJKLO,SUWXY,0111011101110010001010111,0,1,1,1,0,1,1,1,0,1,1,1,0,0,1,0,0,0,1,0,1,0,1,1,1
5x3,7,BCEFG,KLPQR,STVWY,0110111000110001111101101,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0,1,1,1,1,1,0,1,1,0,1
7x3,9,CDFGH,IJKLN,PRUVW,0011011111110101010011100,0,0,1,1,0,1,1,1,1,1,1,1,0,1,0,1,0,1,0,0,1,1,1,0,0
5x4,6,ABCGJ,LMNOP,QUVWY,1110001001011111100011101,1,1,1,0,0,0,1,0,0,1,0,1,1,1,1,1,1,0,0,0,1,1,1,0,1
7x2,7,ABDEF,GIKLM,OPSVX,1101111010111011001001010,1,1,0,1,1,1,1,0,1,0,1,1,1,0,1,1,0,0,1,0,0,1,0,1,0
6x2,8,ABCHI,JKMNP,QRTXY,1110000111101101110100011,1,1,1,0,0,0,0,1,1,1,1,0,1,1,0,1,1,1,0,1,0,0,0,1,1
6x3,6,ABCEG,HKLMO,RSUVX,1110101100111010011011010,1,1,1,0,1,0,1,1,0,0,1,1,1,0,1,0,0,1,1,0,1,1,0,1,0
5x4,4,ADEFI,KMOPQ,SUWXY,1001110010101011101010111,1,0,0,1,1,1,0,0,1,0,1,0,1,0,1,1,1,0,1,0,1,0,1,1,1
5x4,5,CDEGI,KOPQS,TVWXY,0011101010100011101101111,0,0,1,1,1,0,1,0,1,0,1,0,0,0,1,1,1,0,1,1,0,1,1,1,1
6x3,9,ABDFI,JKNOQ,RTVWX,1101010011100110110101110,1,1,0,1,0,1,0,0,1,1,1,0,0,1,1,0,1,1,0,1,0,1,1,1,0
4x3,8,BEFJK,LMPQR,STUXY,0100110001111001111110011,0,1,0,0,1,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1
7x2,7,ABDEF,HILMN,OPSUW,1101110110011111001010100,1,1,0,1,1,1,0,1,1,0,0,1,1,1,1,1,0,0,1,0,1,0,1,0,0
5x2,9,BFGHI,KLMOP,RSTVX,0100011110111011011101010,0,1,0,0,0,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,0,1,0,1,0
6x3,7,CDEFI,JMNOQ,STVXY,0011110011001110101101011,0,0,1,1,1,1,0,0,1,1,0,0,1,1,1,0,1,0,1,1,0,1,0,1,1
8x2,9,ABCDE,HIJMP,QRTVX,1111100111001001110101010,1,1,1,1,1,0,0,1,1,1,0,0,1,0,0,1,1,1,0,1,0,1,0,1,0
5x3,7,AEGHJ,KMNOP,QTVXY,1000101101101111100101011,1,0,0,0,1,0,1,1,0,1,1,0,1,1,1,1,1,0,0,1,0,1,0,1,1
6x3,6,BDEGH,IKMNO,RSUWX,0101101110101110011010110,0,1,0,1,1,0,1,1,1,0,1,0,1,1,1,0,0,1,1,0,1,0,1,1,0
5x3,5,ACEFG,KLMNO,QRWXY,1010111000111110110000111,1,0,1,0,1,1,1,0,0,0,1,1,1,1,1,0,1,1,0,0,0,0,1,1,1
7x2,6,BCDEH,IJKLM,QRSUW,0111100111111000111010100,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,1,1,1,0,1,0,1,0,0
7x2,9,ABDEF,IJLNP,QSTXY,1101110011010101101100011,1,1,0,1,1,1,0,0,1,1,0,1,0,1,0,1,1,0,1,1,0,0,0,1,1
9x2,6,ABCDE,FGHIM,NQTWY,1111111110001100100100101,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,1
5x3,6,CDGIJ,KMNOP,QTUVW,0011001011101111100111100,0,0,1,1,0,0,1,0,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,0,0
6x2,7,AEFGI,JKMNP,QRTUV,1000111011101101110111000,1,0,0,0,1,1,1,0,1,1,1,0,1,1,0,1,1,1,0,1,1,1,0,0,0
4x3,9,CGHJL,MNPQR,STUVX,0010001101011101111111010,0,0,1,0,0,0,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,0
7x4,8,ACDEF,HJLMQ,TVWXY,1011110101011000100101111,1,0,1,1,1,1,0,1,0,1,0,1,1,0,0,0,1,0,0,1,0,1,1,1,1
6x3,7,DEGHI,JLMNO,QRUWX,0001101111011110110010110,0,0,0,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,0,1,0,1,1,0
6x4,7,ABCDF,IMNQS,TUVXY,1111010010001100101111011,1,1,1,1,0,1,0,0,1,0,0,0,1,1,0,0,1,0,1,1,1,1,0,1,1
7x2,10,ABFGH,IJLNP,QRTWX,1100011111010101110100110,1,1,0,0,0,1,1,1,1,1,0,1,0,1,0,1,1,1,0,1,0,0,1,1,0
4x4,8,ADHIK,MNPQR,TVWXY,1001000110101101110101111,1,0,0,1,0,0,0,1,1,0,1,0,1,1,0,1,1,1,0,1,0,1,1,1,1
6x2,6,AEGHI,JLNOQ,RSTUW,1000101111010110111110100,1,0,0,0,1,0,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,0,1,0,0
6x4,8,ACDEG,JLNQR,TUVXY,1011101001010100110111011,1,0,1,1,1,0,1,0,0,1,0,1,0,1,0,0,1,1,0,1,1,1,0,1,1
6x3,6,ABEGI,JKMNP,STUVW,1100101011101101001111100,1,1,0,0,1,0,1,0,1,1,1,0,1,1,0,1,0,0,1,1,1,1,1,0,0
5x4,8,ABDIJ,LNQRS,TUWXY,1101000011010100111110111,1,1,0,1,0,0,0,0,1,1,0,1,0,1,0,0,1,1,1,1,1,0,1,1,1
7x1,7,BCDFG,IJKLM,OQRTU,0111011011111010110110000,0,1,1,1,0,1,1,0,1,1,1,1,1,0,1,0,1,1,0,1,1,0,0,0,0
6x3,8,ABCEG,HMNPR,STUVX,1110101100001101011111010,1,1,1,0,1,0,1,1,0,0,0,0,1,1,0,1,0,1,1,1,1,1,0,1,0
7x3,7,ACDEF,GIKLP,STVWX,1011111010110001001101110,1,0,1,1,1,1,1,0,1,0,1,1,0,0,0,1,0,0,1,1,0,1,1,1,0
6x3,6,ABCDG,ILNOQ,STUWX,1111001010010110101110110,1,1,1,1,0,0,1,0,1,0,0,1,0,1,1,0,1,0,1,1,1,0,1,1,0
6x3,7,ADFGI,JLOQR,STUWX,1001011011010010111110110,1,0,0,1,0,1,1,0,1,1,0,1,0,0,1,0,1,1,1,1,1,0,1,1,0
7x1,5,ACDEG,IJKNO,PQSTU,1011101011100111101110000,1,0,1,1,1,0,1,0,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0,0,0
7x3,6,ABEGH,IJLMN,OQUXY,1100101111011110100010011,1,1,0,0,1,0,1,1,1,1,0,1,1,1,1,0,1,0,0,0,1,0,0,1,1
8x1,7,ABDEF,GHIMO,PQRTU,1101111110001011110110000,1,1,0,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,0,1,1,0,0,0,0
5x3,9,ABFGH,LMPQR,STVXY,1100011100011001111101011,1,1,0,0,0,1,1,1,0,0,0,1,1,0,0,1,1,1,1,1,0,1,0,1,1
6x3,8,ABCDE,JLNOR,STUVW,1111100001010110011111100,1,1,1,1,1,0,0,0,0,1,0,1,0,1,1,0,0,1,1,1,1,1,1,0,0
5x3,7,CDEFG,KLOPR,STUXY,0011111000110011011110011,0,0,1,1,1,1,1,0,0,0,1,1,0,0,1,1,0,1,1,1,1,0,0,1,1
6x3,8,BEFHI,JMNOP,QSUVX,0100110111001111101011010,0,1,0,0,1,1,0,1,1,1,0,0,1,1,1,1,1,0,1,0,1,1,0,1,0
5x4,9,ABCGJ,KLNPR,TVWXY,1110001001110101010101111,1,1,1,0,0,0,1,0,0,1,1,1,0,1,0,1,0,1,0,1,0,1,1,1,1
3x4,7,AEFKL,MNPRS,TUVWY,1000110000111101011111101,1,0,0,0,1,1,0,0,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1
5x3,7,CEHIJ,LMOPQ,RSUVX,0010100111011011111011010,0,0,1,0,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,0,1,0
4x3,6,FHIJK,LMOPQ,RSUWY,0000010111111011111010101,0,0,0,0,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0,1
7x3,8,ABCDE,HJLOP,RSUVW,1111100101010011011011100,1,1,1,1,1,0,0,1,0,1,0,1,0,0,1,1,0,1,1,0,1,1,1,0,0
6x3,8,ADFGH,JLMNO,PSUVW,1001011101011111001011100,1,0,0,1,0,1,1,1,0,1,0,1,1,1,1,1,0,0,1,0,1,1,1,0,0
7x2,7,ACEFG,HJLMN,QSTUX,1010111101011100101110010,1,0,1,0,1,1,1,1,0,1,0,1,1,1,0,0,1,0,1,1,1,0,0,1,0
7x3,8,ADFGH,IJLMN,PQUXY,1001011111011101100010011,1,0,0,1,0,1,1,1,1,1,0,1,1,1,0,1,1,0,0,0,1,0,0,1,1
4x3,6,BDFIK,LMNOQ,RSUWY,0101010010111110111010101,0,1,0,1,0,1,0,0,1,0,1,1,1,1,1,0,1,1,1,0,1,0,1,0,1
5x3,4,CGHIJ,KLMOQ,RSUWY,0010001111111010111010101,0,0,1,0,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,0,1,0,1
6x3,6,ACDGH,IKNPQ,RSUWX,1011001110100101111010110,1,0,1,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,1,0,1,0,1,1,0
7x3,7,BCEFG,HJKNO,STUVW,0110111101100110001111100,0,1,1,0,1,1,1,1,0,1,1,0,0,1,1,0,0,0,1,1,1,1,1,0,0
6x2,7,AEGHI,JMNOP,QRTWX,1000101111001111110100110,1,0,0,0,1,0,1,1,1,1,0,0,1,1,1,1,1,1,0,1,0,0,1,1,0
6x3,9,BCDFG,HKLPQ,RSVXY,0111011100110001111001011,0,1,1,1,0,1,1,1,0,0,1,1,0,0,0,1,1,1,1,0,0,1,0,1,1
6x2,5,ADEGI,JKLMQ,RSTUW,1001101011111000111110100,1,0,0,1,1,0,1,0,1,1,1,1,1,0,0,0,1,1,1,1,1,0,1,0,0
4x3,6,ADEGK,LMNQR,STWXY,1001101000111100111100111,1,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1
7x5,9,BCDFH,IJLMT,UVWXY,0111010111011000000111111,0,1,1,1,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1
6x1,7,ACDFI,JKMNO,PRSTU,1011010011101111011110000,1,0,1,1,0,1,0,0,1,1,1,0,1,1,1,1,0,1,1,1,1,0,0,0,0
6x2,7,ABDGH,JKNOP,QSTUW,1101001101100111101110100,1,1,0,1,0,0,1,1,0,1,1,0,0,1,1,1,1,0,1,1,1,0,1,0,0
7x1,8,ACEFH,IJNOP,QRSTV,1010110111000111111101000,1,0,1,0,1,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,0,1,0,0,0
7x3,6,ACDEF,IJKMN,OTWXY,1011110011101110000100111,1,0,1,1,1,1,0,0,1,1,1,0,1,1,1,0,0,0,0,1,0,0,1,1,1
6x2,7,BCFGI,JKMNO,PRTWY,0110011011101111010100101,0,1,1,0,0,1,1,0,1,1,1,0,1,1,1,1,0,1,0,1,0,0,1,0,1
7x3,5,AEFGH,IJKLO,QSUXY,1000111111110010101010011,1,0,0,0,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,0,1,0,0,1,1
6x3,7,BCGHI,JKLQR,STVWY,0110001111110000111101101,0,1,1,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,1,1,0,1
7x3,8,ABCEH,IJKNP,QRVXY,1110100111100101110001011,1,1,1,0,1,0,0,1,1,1,1,0,0,1,0,1,1,1,0,0,0,1,0,1,1
5x3,6,ACDEG,KLNOR,STUVY,1011101000110110011111001,1,0,1,1,1,0,1,0,0,0,1,1,0,1,1,0,0,1,1,1,1,1,0,0,1
6x4,9,BDEFG,ILMPR,TUVWX,0101111010011001010111110,0,1,0,1,1,1,1,0,1,0,0,1,1,0,0,1,0,1,0,1,1,1,1,1,0
7x3,6,ACEFH,IJKPQ,RSVWY,1010110111100001111001101,1,0,1,0,1,1,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,0,1
7x1,6,ACEFG,IJKLM,NPSTY,1010111011111101001100001,1,0,1,0,1,1,1,0,1,1,1,1,1,1,0,1,0,0,1,1,0,0,0,0,1
8x3,7,ABEFG,HIJKL,MRVWY,1100111111111000010001101,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,1,1,0,1
6x3,9,BDEFH,JLMOP,STUVW,0101110101011011001111100,0,1,0,1,1,1,0,1,0,1,0,1,1,0,1,1,0,0,1,1,1,1,1,0,0
5x3,8,ABFGI,LMNOR,STVXY,1100011010011110011101011,1,1,0,0,0,1,1,0,1,0,0,1,1,1,1,0,0,1,1,1,0,1,0,1,1
6x3,6,BCDEG,JKMNP,QRUWY,0111101001101101110010101,0,1,1,1,1,0,1,0,0,1,1,0,1,1,0,1,1,1,0,0,1,0,1,0,1
6x4,10,BCFGH,JLNOP,RVWXY,0110011101010111010001111,0,1,1,0,0,1,1,1,0,1,0,1,0,1,1,1,0,1,0,0,0,1,1,1,1
4x4,6,CEGIL,OPQRS,TUVXY,0010101010010011111111011,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1,1,1,1,1,1,1,1,0,1,1
7x2,6,ABCEG,HJMNP,QRSWY,1110101101001101111000101,1,1,1,0,1,0,1,1,0,1,0,0,1,1,0,1,1,1,1,0,0,0,1,0,1
6x2,7,ABDGI,JKLNO,PSTWY,1101001011110111001100101,1,1,0,1,0,0,1,0,1,1,1,1,0,1,1,1,0,0,1,1,0,0,1,0,1
7x3,9,ABDFG,HJLMN,OPUVY,1101011101011111000011001,1,1,0,1,0,1,1,1,0,1,0,1,1,1,1,1,0,0,0,0,1,1,0,0,1
7x2,8,BCDEF,HIMNP,RSTUW,0111110110001101011110100,0,1,1,1,1,1,0,1,1,0,0,0,1,1,0,1,0,1,1,1,1,0,1,0,0
7x2,5,ABCFG,IJMOP,QRSWY,1110011011001011111000101,1,1,1,0,0,1,1,0,1,1,0,0,1,0,1,1,1,1,1,0,0,0,1,0,1
5x3,8,BEFGJ,KLMNP,QTVWY,0100111001111101100101101,0,1,0,0,1,1,1,0,0,1,1,1,1,1,0,1,1,0,0,1,0,1,1,0,1
5x2,6,AEFGI,KLMPQ,RSTVW,1000111010111001111101100,1,0,0,0,1,1,1,0,1,0,1,1,1,0,0,1,1,1,1,1,0,1,1,0,0
5x5,7,ABDGH,KLQST,UVWXY,1101001100110000101111111,1,1,0,1,0,0,1,1,0,0,1,1,0,0,0,0,1,0,1,1,1,1,1,1,1
5x4,8,ABFIJ,LOPQR,SUVXY,1100010011010011111011011,1,1,0,0,0,1,0,0,1,1,0,1,0,0,1,1,1,1,1,0,1,1,0,1,1
7x4,7,ABCDE,GJNOP,SUVXY,1111101001000111001011011,1,1,1,1,1,0,1,0,0,1,0,0,0,1,1,1,0,0,1,0,1,1,0,1,1
7x3,7,ABDEF,GILMQ,STUVX,1101111010011000101111010,1,1,0,1,1,1,1,0,1,0,0,1,1,0,0,0,1,0,1,1,1,1,0,1,0
6x3,5,ACDGH,IMNQR,STUWY,1011001110001100111110101,1,0,1,1,0,0,1,1,1,0,0,0,1,1,0,0,1,1,1,1,1,0,1,0,1
5x2,8,AEFGJ,KLNOP,RSTUV,1000111001110111011111000,1,0,0,0,1,1,1,0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,0,0
8x3,9,ABCEF,HIJLO,PTVXY,1110110111010011000101011,1,1,1,0,1,1,0,1,1,1,0,1,0,0,1,1,0,0,0,1,0,1,0,1,1
8x1,6,BCDEF,GIJKL,MOQRU,0111111011111010110010000,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,0,0,1,0,0,0,0
8x3,7,ABCDE,HIJKL,OTVWY,1111100111110010000101101,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,0,0,0,0,1,0,1,1,0,1
7x2,8,ABDEF,GIKLP,QRTUX,1101111010110001110110010,1,1,0,1,1,1,1,0,1,0,1,1,0,0,0,1,1,1,0,1,1,0,0,1,0
6x3,8,ABCFH,JKMNO,PQVWX,1110010101101111100001110,1,1,1,0,0,1,0,1,0,1,1,0,1,1,1,1,1,0,0,0,0,1,1,1,0
8x3,4,ABCDE,GHIKM,QSUWX,1111101110101000101010110,1,1,1,1,1,0,1,1,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,1,0
6x5,8,ABCDF,JLNOQ,UVWXY,1111010001010110100011111,1,1,1,1,0,1,0,0,0,1,0,1,0,1,1,0,1,0,0,0,1,1,1,1,1
7x3,6,BCDGH,IJKMO,RSVWY,0111001111101010011001101,0,1,1,1,0,0,1,1,1,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0,1
7x3,6,ABDEF,GILNO,QSUVY,1101111010010110101011001,1,1,0,1,1,1,1,0,1,0,0,1,0,1,1,0,1,0,1,0,1,1,0,0,1
